,name,status
311,マイナン,None
312,バルビート,None
313,イルミーゼ,○
314,ロゼリア,None
315,ゴクリン,None
316,マルノーム,None
317,キバニア,None
318,サメハダー,None
319,ホエルコ,None
320,ホエルオー,None
321,ドンメル,○
322,バクーダ,None
323,コータス,None
324,バネブー,None
325,ブーピッグ,None
326,パッチール,None
327,ナックラー,None
328,ビブラーバ,None
329,フライゴン,None
330,サボネア,None
331,ノクタス,None
332,チルット,None
333,チルタリス,None
334,ザングース,None
335,ハブネーク,None
336,ルナトーン,None
337,ソルロック,○
338,ドジョッチ,None
339,ナマズン,None
340,ヘイガニ,None
341,シザリガー,None
342,ヤジロン,None
343,ネンドール,None
344,リリーラ,None
345,ユレイドル,None
346,アノプス,None
347,アーマルド,None
348,ヒンバス,None
349,ミロカロス,None
350,ポワルン,None
351,カクレオン,None
352,カゲボウズ,None
353,ジュペッタ,None
354,ヨマワル,None
355,サマヨール,○
356,トロピウス,None
357,チリーン,None
358,アブソル,None
359,ソーナノ,None
360,ユキワラシ,None
361,オニゴーリ,None
362,タマザラシ,None
363,トドグラー,None
364,トドゼルガ,None
365,パールル,None
366,ハンテール,None
367,サクラビス,None
368,ジーランス,None
369,ラブカス,None
370,タツベイ,None
371,コモルー,None
372,ボーマンダ,None
373,ダンバル,None
374,メタング,None
375,メタグロス,None
376,レジロック,None
377,レジアイス,None
378,レジスチル,None
379,ラティアス,None
380,ラティオス,None
381,カイオーガ,None
382,グラードン,None
383,レックウザ,None
384,ジラーチ,None
385,デオキシス,None
386,ナエトル,○
387,ハヤシガメ,○
388,ドダイトス,○
389,ヒコザル,None
390,モウカザル,None
391,ゴウカザル,None
392,ポッチャマ,None
393,ポッタイシ,None
394,エンペルト,None
395,ムックル,○
396,ムクバード,○
397,ムクホーク,○
398,ビッパ,○
399,ビーダル,○
400,コロボーシ,None
401,コロトック,None
402,コリンク,○
403,ルクシオ,○
404,レントラー,○
405,スボミー,○
406,ロズレイド,None
407,ズガイドス,None
408,ラムパルド,None
409,タテトプス,None
410,トリデプス,None
411,ミノムッチ,None
412,ガーメイル,None
413,ミツハニー,None
414,ビークイン,None
415,パチリス,None
416,ブイゼル,○
417,フローゼル,None
418,チェリンボ,None
419,チェリム,None
420,カラナクシ,None
421,トリトドン,None
422,エテボース,None
423,フワンテ,None
424,フワライド,○
425,ミミロル,None
426,ミミロップ,None
427,ムウマージ,None
428,ドンカラス,None
429,ニャルマー,None
430,ブニャット,None
431,リーシャン,None
432,スカンプー,None
433,スカタンク,None
434,ドーミラー,None
435,ドータクン,None
436,ウソハチ,None
437,マネネ,None
438,ピンプク,None
439,ペラップ,None
440,ミカルゲ,None
441,フカマル,None
442,ガバイト,None
443,ガブリアス,None
444,ゴンベ,None
445,リオル,None
446,ルカリオ,None
447,ヒポポタス,None
448,カバルドン,None
449,スコルピ,None
450,ドラピオン,○
451,グレッグル,None
452,ドクロッグ,None
453,マスキッパ,None
454,ケイコウオ,None
455,ネオラント,None
456,タマンタ,None
457,ユキカブリ,None
458,ユキノオー,None
459,マニューラ,None
460,ジバコイル,○
461,ベロベルト,None
462,ドサイドン,None
463,モジャンボ,None
464,エレキブル,None
465,ブーバーン,None
466,トゲキッス,None
467,メガヤンマ,None
468,リーフィア,None
469,グレイシア,None
470,グライオン,None
471,マンムー,None
472,ポリゴンZ,None
473,エルレイド,None
474,ダイノーズ,None
475,ヨノワール,None
476,ユキメノコ,None
477,ロトム,None
478,ユクシー,○
479,エムリット,○
480,アグノム,○
481,ディアルガ,○
482,パルキア,○
483,ヒードラン,None
484,レジギガス,○
485,ギラティナ,None
486,クレセリア,○
